TestId;Number of Threads;Successful;Elapsed Time for Conversion in Nano;Elapsed Total Time in Nano;Image              ;Average for Conversion in ms;Total Average in ms
0     ;1                ;TRUE      ;110994530                          ;515451138                 ;2.kitten_medium.jpg;13,13211539                 ;175,6340756
0     ;1                ;TRUE      ;19395810                           ;178546544                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12565708                           ;176409046                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12211057                           ;165763922                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11701296                           ;167786753                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11424599                           ;161434833                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11562091                           ;177467474                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11968189                           ;165128825                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11892611                           ;162451651                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11985934                           ;159752140                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11458825                           ;163503527                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11801152                           ;179216517                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11511720                           ;169166115                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;13371411                           ;160250859                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;13759552                           ;221477257                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12024926                           ;163025635                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11823729                           ;167423075                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11670333                           ;181244398                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11545067                           ;180577195                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11579773                           ;185412139                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;14060344                           ;162513915                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12560154                           ;200907524                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;13884928                           ;171455936                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12320652                           ;174938400                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11442156                           ;175413839                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12671628                           ;207893903                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11606139                           ;169677603                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12356488                           ;202666307                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11436000                           ;178163161                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11646812                           ;174625981                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11646725                           ;187341540                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11730599                           ;183319451                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12351467                           ;164026367                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11537687                           ;167071764                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;13901023                           ;167187133                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12371524                           ;200858133                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11582948                           ;160354570                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12303979                           ;155671808                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11399921                           ;161032689                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11840174                           ;162317110                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;12299172                           ;158137856                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;11557724                           ;155837987                 ;2.kitten_medium.jpg;                            ;
0     ;1                ;TRUE      ;13169834                           ;190254455                 ;2.kitten_medium.jpg;                            ;
