ID;Number of Threads;Execution time for reading image (ms);Task Execution time (ms);Execution time for retrieving result from tasks (ms);Total processor execution time (ms);Image name;Successful
19e392fd-0592-42b8-9120-c65292172c73;6;57;82;23;173;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;37;13;17;69;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;29;8;10;48;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;31;14;6;52;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;31;14;6;51;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;6;6;35;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;26;6;6;39;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;24;6;8;39;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;25;5;6;37;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;23;16;7;47;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;6;6;35;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;2;6;31;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;24;2;6;33;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;2;5;31;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;4;5;32;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;21;5;5;32;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;21;3;6;31;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;21;7;5;35;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;4;5;32;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;23;2;6;32;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;5;5;33;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;4;6;33;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;21;2;6;30;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;23;2;6;32;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;2;6;30;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;21;2;5;30;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;2;6;31;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;21;3;6;31;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;21;7;6;35;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;21;5;6;33;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;23;3;6;33;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;3;5;31;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;3;6;32;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;3;6;32;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;24;4;6;35;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;22;3;6;31;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;21;3;6;31;3.harold_large.jpg;true
19e392fd-0592-42b8-9120-c65292172c73;6;21;6;6;34;3.harold_large.jpg;true
