ID;Number of Threads;Execution time for reading image (ms);Task Execution time (ms);Execution time for retrieving result from tasks (ms);Total processor execution time (ms);Image name;Successful
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;23;111;0;135;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;36;0;58;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;32;0;53;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;20;29;0;49;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;22;23;0;45;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;33;0;55;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;20;31;0;52;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;20;27;0;48;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;22;31;0;54;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;26;0;47;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;20;28;0;49;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;20;25;0;46;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;30;0;52;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;29;0;50;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;31;0;53;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;29;0;51;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;20;27;0;48;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;30;0;51;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;29;0;50;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;22;31;0;54;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;33;0;54;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;20;34;0;55;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;32;0;53;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;22;33;0;56;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;20;0;42;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;21;29;0;50;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;20;29;0;50;3.harold_large.jpg;true
b045b5c4-842b-4292-b1aa-2ab0d8f558fb;8;22;34;0;57;3.harold_large.jpg;true
