ID;Number of Threads;Execution time for reading image (ms);Task Execution time (ms);Execution time for retrieving result from tasks (ms);Total processor execution time (ms);Image name;Successful
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;93;0;114;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;59;0;80;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;23;65;0;89;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;63;0;85;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;67;0;88;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;62;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;61;0;84;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;66;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;66;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;65;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;62;0;84;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;62;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;66;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;61;0;82;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;66;0;89;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;62;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;62;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;66;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;67;0;89;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;63;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;62;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;66;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;63;0;84;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;61;0;82;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;62;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;66;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;65;0;86;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;65;0;88;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;64;0;85;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;62;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;67;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;62;0;84;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;67;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;60;0;82;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;65;0;86;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;64;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;62;0;84;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;61;0;82;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;66;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;61;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;63;0;84;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;65;0;86;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;61;0;82;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;61;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;66;0;87;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;67;0;88;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;62;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;61;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;61;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;62;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;66;0;88;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;66;0;88;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;62;0;84;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;20;61;0;82;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;62;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;61;0;83;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;60;0;81;3.harold_large.jpg;true
