ID;Number of Threads;Execution time for reading image (ms);Task Execution time (ms);Execution time for retrieving result from tasks (ms);Total processor execution time (ms);Image name;Successful
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;58;48;24;144;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;38;10;14;63;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;30;13;9;52;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;32;12;6;50;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;31;6;6;44;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;25;3;6;35;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;25;5;6;37;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;23;6;6;36;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;24;7;9;40;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;4;6;33;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;23;7;6;36;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;3;6;31;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;24;3;6;34;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;3;6;31;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;3;5;31;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;21;3;6;31;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;23;3;6;33;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;4;5;32;3.harold_large.jpg;true
b08337f1-084c-49f2-9a6d-e03f2a940af0;3;22;5;6;33;3.harold_large.jpg;true
